lane	family	plane	corpus	mode	alias	iters	cwd	binary	expected_rc_policy	output_artifact	status_artifact	command	notes
pmu	pmu-direct	direct	apache_builds	track1	apache_builds	31429	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-apache_builds-track1.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 31429 apache_builds track1 > /tmp/skv12-p1/logs/pmu-direct-apache_builds-track1.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-apache_builds-track1.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	apache_builds	track2	apache_builds	31429	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-apache_builds-track2.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 31429 apache_builds track2 > /tmp/skv12-p1/logs/pmu-direct-apache_builds-track2.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-apache_builds-track2.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	canada	track1	canada	1777	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-canada-track1.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 1777 canada track1 > /tmp/skv12-p1/logs/pmu-direct-canada-track1.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-canada-track1.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	canada	track2	canada	1777	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-canada-track2.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 1777 canada track2 > /tmp/skv12-p1/logs/pmu-direct-canada-track2.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-canada-track2.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	citm_catalog	track1	citm_catalog	2316	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-citm_catalog-track1.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 2316 citm_catalog track1 > /tmp/skv12-p1/logs/pmu-direct-citm_catalog-track1.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-citm_catalog-track1.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	citm_catalog	track2	citm_catalog	2316	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-citm_catalog-track2.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 2316 citm_catalog track2 > /tmp/skv12-p1/logs/pmu-direct-citm_catalog-track2.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-citm_catalog-track2.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	distinct_values	track1	distinct_values	26037	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-distinct_values-track1.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 26037 distinct_values track1 > /tmp/skv12-p1/logs/pmu-direct-distinct_values-track1.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-distinct_values-track1.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	distinct_values	track2	distinct_values	26037	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-distinct_values-track2.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 26037 distinct_values track2 > /tmp/skv12-p1/logs/pmu-direct-distinct_values-track2.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-distinct_values-track2.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	github_events	track1	github_events	61414	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-github_events-track1.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 61414 github_events track1 > /tmp/skv12-p1/logs/pmu-direct-github_events-track1.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-github_events-track1.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	github_events	track2	github_events	61414	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-github_events-track2.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 61414 github_events track2 > /tmp/skv12-p1/logs/pmu-direct-github_events-track2.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-github_events-track2.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	gsoc-2018	track1	gsoc-2018	1202	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-gsoc-2018-track1.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 1202 gsoc-2018 track1 > /tmp/skv12-p1/logs/pmu-direct-gsoc-2018-track1.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-gsoc-2018-track1.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	gsoc-2018	track2	gsoc-2018	1202	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-gsoc-2018-track2.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 1202 gsoc-2018 track2 > /tmp/skv12-p1/logs/pmu-direct-gsoc-2018-track2.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-gsoc-2018-track2.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
pmu	pmu-direct	direct	instruments	track1	instruments	18154	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-profile-target-50bd1648/release/profile_direct	rc=0 required	/tmp/skv12-p1/logs/pmu-direct-instruments-track1.rerun.log.out	/tmp/skv12-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-profile-target-50bd1648/release/profile_direct 18154 instruments track1 > /tmp/skv12-p1/logs/pmu-direct-instruments-track1.rerun.log.out 2> /tmp/skv12-p1/logs/pmu-direct-instruments-track1.rerun.log.err	PMU row authority; cycles and instructions are emitted by the probe binary via proc_pid_rusage.
