corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	warmup_iters	checksum
twitter	parse_only_track1	2219.206	3.604892	3.302347	0.316486	400	631515	0	0
twitter	parse_only_track2	1751.066	4.568646	4.169868	0.356593	400	631515	0	0
twitter	parse_only_sonic	3185.267	2.511563	2.382068	0.316745	400	631515	0	0
twitter	parse_only_serde	659.013	12.139369	12.037944	0.294068	400	631515	0	0
citm_catalog	parse_only_track1	3667.751	2.181173	1.907187	0.247291	400	1727204	0	0
citm_catalog	parse_only_track2	2541.294	3.148003	2.774025	0.314962	400	1727204	0	0
citm_catalog	parse_only_sonic	4117.846	1.942763	1.788521	0.271275	400	1727204	0	0
citm_catalog	parse_only_serde	955.060	8.376434	8.211403	0.232306	400	1727204	0	0
canada	parse_only_track1	3553.231	2.251472	2.579946	0.162835	400	2251051	0	0
canada	parse_only_track2	2075.331	3.854807	4.373609	0.244081	400	2251051	0	0
canada	parse_only_sonic	5480.484	1.459725	2.695427	0.228638	400	2251051	0	0
canada	parse_only_serde	2700.104	2.962848	6.985171	0.170106	400	2251051	0	0
apache_builds	parse_only_track1	7399.978	1.081084	2.784992	0.247535	400	127275	0	0
apache_builds	parse_only_track2	5811.540	1.376571	3.749663	0.297729	400	127275	0	0
apache_builds	parse_only_sonic	7806.031	1.024849	2.616227	0.295871	400	127275	0	0
apache_builds	parse_only_serde	2433.735	3.287128	8.984074	0.194170	400	127275	0	0
github_events	parse_only_track1	7760.895	1.030809	2.637644	0.264960	400	65132	0	0
github_events	parse_only_track2	6088.851	1.313877	3.330872	0.301824	400	65132	0	0
github_events	parse_only_sonic	10406.789	0.768729	1.968754	0.304083	400	65132	0	0
github_events	parse_only_serde	2919.172	2.740504	7.023521	0.191184	400	65132	0	0
update_center	parse_only_track1	5815.213	1.375702	3.707421	0.280485	400	533178	0	0
update_center	parse_only_track2	4400.961	1.817785	4.836480	0.326936	400	533178	0	0
update_center	parse_only_sonic	9859.749	0.811380	2.299363	0.343450	400	533178	0	0
update_center	parse_only_serde	2068.599	3.867352	11.466293	0.199768	400	533178	0	0
mesh	parse_only_track1	11669.302	0.685559	2.402591	0.127514	400	723597	0	0
mesh	parse_only_track2	6410.976	1.247860	4.587113	0.212682	400	723597	0	0
mesh	parse_only_sonic	6589.818	1.213994	4.500045	0.230368	400	723597	0	0
mesh	parse_only_serde	4254.019	1.880574	7.090932	0.186878	400	723597	0	0
random	parse_only_track1	6945.023	1.151904	4.204790	0.239436	400	510476	0	0
random	parse_only_track2	4698.059	1.702831	5.960965	0.301247	400	510476	0	0
random	parse_only_sonic	8067.336	0.991653	3.185588	0.268479	400	510476	0	0
random	parse_only_serde	1733.407	4.615189	13.769910	0.178026	400	510476	0	0
gsoc-2018	parse_only_track1	17168.345	0.465974	1.588504	0.248226	400	3327831	0	0
gsoc-2018	parse_only_track2	14408.427	0.555231	1.810172	0.269118	400	3327831	0	0
gsoc-2018	parse_only_sonic	25149.943	0.318092	0.964570	0.298445	400	3327831	0	0
gsoc-2018	parse_only_serde	7903.706	1.012183	2.948820	0.202591	400	3327831	0	0
marine_ik	parse_only_track1	9505.490	0.841619	2.382304	0.138059	400	2983466	0	0
marine_ik	parse_only_track2	4773.071	1.676070	4.753541	0.237240	400	2983466	0	0
marine_ik	parse_only_sonic	5338.935	1.498426	4.285301	0.249852	400	2983466	0	0
marine_ik	parse_only_serde	2252.199	3.552084	9.680535	0.177548	400	2983466	0	0
instruments	parse_only_track1	8203.293	0.975218	2.778468	0.232289	400	220346	0	0
instruments	parse_only_track2	5454.647	1.466639	4.091033	0.299523	400	220346	0	0
instruments	parse_only_sonic	9805.577	0.815862	2.297433	0.215856	400	220346	0	0
instruments	parse_only_serde	2387.014	3.351468	9.482134	0.183565	400	220346	0	0
numbers	parse_only_track1	14472.308	0.552780	1.556286	0.130755	400	150124	0	0
numbers	parse_only_track2	7360.584	1.086870	3.083188	0.224842	400	150124	0	0
numbers	parse_only_sonic	7452.774	1.073426	3.044992	0.241914	400	150124	0	0
numbers	parse_only_serde	4761.151	1.680266	4.800803	0.174154	400	150124	0	0
unicode_mixed	parse_only_track1	5002.540	1.599188	4.633856	0.418504	400	1053086	0	0
unicode_mixed	parse_only_track2	5118.570	1.562937	5.293067	0.436212	400	1053086	0	0
unicode_mixed	parse_only_sonic	6845.245	1.168694	4.193299	0.384926	400	1053086	0	0
unicode_mixed	parse_only_serde	2483.913	3.220725	10.779410	0.246043	400	1053086	0	0
unicode_escapes	parse_only_track1	7897.449	1.012985	3.113460	0.246729	400	1050797	0	0
unicode_escapes	parse_only_track2	7849.500	1.019173	3.338566	0.253934	400	1050797	0	0
unicode_escapes	parse_only_sonic	2984.079	2.680894	9.894792	0.498745	400	1050797	0	0
unicode_escapes	parse_only_serde	4347.844	1.839992	6.623518	0.209784	400	1050797	0	0
unicode_basic	parse_only_track1	9445.728	0.846944	3.042469	0.216833	400	1048586	0	0
unicode_basic	parse_only_track2	5420.279	1.475939	4.688690	0.293063	400	1048586	0	0
unicode_basic	parse_only_sonic	7059.901	1.133160	3.236692	0.280882	400	1048586	0	0
unicode_basic	parse_only_serde	1466.887	5.453727	13.843764	0.193373	400	1048586	0	0
