corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
twitter	parse_only_track1	631515	400	0	12841.948	0.622958	662363836	1850664684	2.622122	0.357906	3712666	26751	0
twitter	parse_only_track2	631515	400	0	9020.916	0.886828	927226317	2962638074	3.670642	0.312973	5219970	62293	0
twitter	parse_only_sonic	631515	400	0	15868.374	0.504147	528986531	1872676022	2.094117	0.282476	2971102	33429	0
twitter	parse_only_serde	631515	400	0	4153.582	1.926049	2040915046	10235299433	8.079440	0.199400	11462460	88096	0
citm_catalog	parse_only_track1	1727204	400	0	23050.508	0.347064	1005305565	3996460466	1.455105	0.251549	5652415	43164	0
citm_catalog	parse_only_track2	1727204	400	0	13767.154	0.581093	1692968005	6022648711	2.450446	0.281100	9495957	60589	0
citm_catalog	parse_only_sonic	1727204	400	0	21699.870	0.368666	1074873107	4483070118	1.555799	0.239763	6026285	37956	0
citm_catalog	parse_only_serde	1727204	400	0	5672.131	1.410405	4114291399	24312625174	5.955132	0.169224	23043585	154219	0
canada	parse_only_track1	2251051	400	0	19174.688	0.417217	1585520407	12738989587	1.760867	0.124462	8883509	57584	0
canada	parse_only_track2	2251051	400	0	9010.431	0.887860	3356707584	16339473097	3.727934	0.205435	18808192	160928	0
canada	parse_only_sonic	2251051	400	0	12497.444	0.640131	2374781187	10625075963	2.637414	0.223507	13285402	212738	0
canada	parse_only_serde	2251051	400	0	4617.355	1.732594	6455009293	36999749491	7.168884	0.174461	36632099	372894	0
apache_builds	parse_only_track1	127275	400	0	13271.115	0.602813	128517571	386694004	2.524407	0.332350	728318	3954	0
apache_builds	parse_only_track2	127275	400	0	9082.312	0.880833	189545029	656661739	3.723139	0.288649	1060387	7051	0
apache_builds	parse_only_sonic	127275	400	0	12986.814	0.616009	132798223	450080663	2.608490	0.295054	744789	4036	0
apache_builds	parse_only_serde	127275	400	0	3976.104	2.012020	433632920	2367704773	8.517637	0.183145	2431482	13305	0
github_events	parse_only_track1	65132	400	0	14187.844	0.563863	62221740	182090492	2.388294	0.341708	348904	1716	0
github_events	parse_only_track2	65132	400	0	10175.074	0.786235	86480175	295342887	3.319420	0.292813	484504	3423	0
github_events	parse_only_sonic	65132	400	0	17081.410	0.468345	51331635	168673318	1.970292	0.304326	287894	2072	0
github_events	parse_only_serde	65132	400	0	4886.298	1.637231	179279871	963347407	6.881405	0.186101	1009630	7365	0
update_center	parse_only_track1	533178	400	0	10547.553	0.758470	681715429	1733452818	3.196472	0.393270	3823475	26220	0
update_center	parse_only_track2	533178	400	0	7059.015	1.133303	1019410884	3229535204	4.779881	0.315653	5713283	37745	0
update_center	parse_only_sonic	533178	400	0	14568.576	0.549127	491407109	1428227994	2.304142	0.344068	2750215	18650	0
update_center	parse_only_serde	533178	400	0	2873.468	2.784092	2505647743	12312154499	11.748646	0.203510	14037710	96320	0
mesh	parse_only_track1	723597	400	0	15843.320	0.504945	609312208	4859385772	2.105150	0.125389	3404592	45404	0
mesh	parse_only_track2	723597	400	0	7052.872	1.134290	1381592428	6368123617	4.773349	0.216954	7731186	63832	0
