corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	warmup_iters	checksum
twitter	parse_only_track1	11353.193	0.704648	2.815015	0.292426	400	631515	0	0
twitter	parse_only_track2	8749.525	0.914335	3.720470	0.323434	400	631515	0	0
twitter	parse_only_sonic	14221.309	0.562536	2.063067	0.278647	400	631515	0	0
twitter	parse_only_serde	3944.944	2.027912	7.942594	0.196650	400	631515	0	0
citm_catalog	parse_only_track1	19003.760	0.420969	1.610438	0.216961	400	1727204	0	0
citm_catalog	parse_only_track2	13630.386	0.586924	2.484425	0.287503	400	1727204	0	0
citm_catalog	parse_only_sonic	21705.402	0.368572	1.569274	0.241916	400	1727204	0	0
citm_catalog	parse_only_serde	5236.272	1.527805	5.978792	0.170293	400	1727204	0	0
canada	parse_only_track1	16709.901	0.478758	1.827966	0.116317	400	2251051	0	0
canada	parse_only_track2	8631.499	0.926838	3.699095	0.207387	400	2251051	0	0
canada	parse_only_sonic	12970.929	0.616764	2.614171	0.222028	400	2251051	0	0
canada	parse_only_serde	4581.994	1.745965	6.934556	0.168852	400	2251051	0	0
apache_builds	parse_only_track1	11163.964	0.716591	2.732592	0.258260	400	127275	0	0
apache_builds	parse_only_track2	8413.478	0.950855	3.726672	0.296128	400	127275	0	0
apache_builds	parse_only_sonic	12133.978	0.659306	2.618168	0.296326	400	127275	0	0
apache_builds	parse_only_serde	3717.310	2.152094	8.546528	0.184252	400	127275	0	0
github_events	parse_only_track1	12818.237	0.624111	2.547415	0.272855	400	65132	0	0
github_events	parse_only_track2	9860.859	0.811288	3.315560	0.300747	400	65132	0	0
github_events	parse_only_sonic	16806.903	0.475995	1.943761	0.300483	400	65132	0	0
github_events	parse_only_serde	4651.697	1.719802	7.014927	0.189324	400	65132	0	0
update_center	parse_only_track1	9530.868	0.839378	3.592594	0.294876	400	533178	0	0
update_center	parse_only_track2	7181.767	1.113932	4.796605	0.324495	400	533178	0	0
update_center	parse_only_sonic	14061.055	0.568947	2.381030	0.355715	400	533178	0	0
update_center	parse_only_serde	2577.197	3.104148	11.920245	0.207040	400	533178	0	0
mesh	parse_only_track1	12948.891	0.617814	2.427127	0.129539	400	723597	0	0
mesh	parse_only_track2	7053.684	1.134159	4.603281	0.213457	400	723597	0	0
mesh	parse_only_sonic	7599.804	1.052659	4.472484	0.229081	400	723597	0	0
mesh	parse_only_serde	4204.138	1.902887	7.386555	0.193249	400	723597	0	0
random	parse_only_track1	7557.895	1.058496	4.166170	0.249244	400	510476	0	0
random	parse_only_track2	5663.524	1.412548	5.962031	0.301340	400	510476	0	0
random	parse_only_sonic	10984.641	0.728290	3.107315	0.262486	400	510476	0	0
random	parse_only_serde	2268.398	3.526718	13.982323	0.180275	400	510476	0	0
gsoc-2018	parse_only_track1	20758.238	0.385389	1.564217	0.252638	400	3327831	0	0
gsoc-2018	parse_only_track2	18100.688	0.441972	1.811727	0.269353	400	3327831	0	0
gsoc-2018	parse_only_sonic	33632.883	0.237862	0.939830	0.291229	400	3327831	0	0
gsoc-2018	parse_only_serde	10965.927	0.729532	2.932790	0.201019	400	3327831	0	0
marine_ik	parse_only_track1	12834.684	0.623311	2.489424	0.145518	400	2983466	0	0
marine_ik	parse_only_track2	6887.277	1.161562	4.764609	0.237837	400	2983466	0	0
marine_ik	parse_only_sonic	8050.040	0.993784	4.231939	0.246867	400	2983466	0	0
marine_ik	parse_only_serde	3094.115	2.585553	10.112595	0.184584	400	2983466	0	0
instruments	parse_only_track1	10973.947	0.728999	2.784744	0.245502	400	220346	0	0
instruments	parse_only_track2	7392.352	1.082200	4.048545	0.296918	400	220346	0	0
instruments	parse_only_sonic	12988.300	0.615939	2.270763	0.213654	400	220346	0	0
instruments	parse_only_serde	3337.412	2.397067	9.400209	0.181716	400	220346	0	0
numbers	parse_only_track1	20258.759	0.394891	1.509693	0.127626	400	150124	0	0
numbers	parse_only_track2	10133.226	0.789482	3.029136	0.220984	400	150124	0	0
numbers	parse_only_sonic	10729.709	0.745593	2.959340	0.235332	400	150124	0	0
numbers	parse_only_serde	6411.531	1.247752	4.819524	0.174862	400	150124	0	0
unicode_mixed	parse_only_track1	6309.961	1.267837	4.434482	0.408548	400	1053086	0	0
unicode_mixed	parse_only_track2	5469.550	1.462643	4.932073	0.406194	400	1053086	0	0
unicode_mixed	parse_only_sonic	6351.340	1.259577	4.189242	0.384435	400	1053086	0	0
