corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	warmup_iters	checksum
twitter	parse_only_track1	4137.774	1.933407	3.090698	0.376885	400	631515	0	0
twitter	parse_only_track2	2572.631	3.109658	4.033046	0.342077	400	631515	0	0
twitter	parse_only_sonic	5163.078	1.549463	2.245243	0.302449	400	631515	0	0
twitter	parse_only_serde	1139.838	7.018544	10.530839	0.259916	400	631515	0	0
citm_catalog	parse_only_track1	8037.394	0.995348	1.824567	0.274971	400	1727204	0	0
citm_catalog	parse_only_track2	5502.864	1.453788	2.643141	0.302427	400	1727204	0	0
citm_catalog	parse_only_sonic	8138.049	0.983037	1.689552	0.259809	400	1727204	0	0
citm_catalog	parse_only_serde	1875.256	4.266085	7.944901	0.225742	400	1727204	0	0
apache_builds	parse_only_track1	5889.184	1.358423	3.096247	0.342324	400	127275	0	0
apache_builds	parse_only_track2	4421.318	1.809415	4.114630	0.318987	400	127275	0	0
apache_builds	parse_only_sonic	6723.742	1.189814	2.714045	0.306644	400	127275	0	0
apache_builds	parse_only_serde	1764.331	4.534296	10.389165	0.223938	400	127275	0	0
github_events	parse_only_track1	6054.142	1.321409	2.956086	0.370867	400	65132	0	0
github_events	parse_only_track2	5059.441	1.581202	3.625457	0.320081	400	65132	0	0
github_events	parse_only_sonic	8909.510	0.897917	2.043194	0.315703	400	65132	0	0
github_events	parse_only_serde	2151.431	3.718455	8.543786	0.230382	400	65132	0	0
update_center	parse_only_track1	5215.162	1.533989	3.902089	0.399744	400	533178	0	0
update_center	parse_only_track2	3645.951	2.194215	5.300172	0.349520	400	533178	0	0
update_center	parse_only_sonic	8050.601	0.993715	2.358748	0.352297	400	533178	0	0
update_center	parse_only_serde	1328.801	6.020465	15.198223	0.263770	400	533178	0	0
random	parse_only_track1	4025.336	1.987412	4.756516	0.339700	400	510476	0	0
random	parse_only_track2	2788.762	2.868657	6.314421	0.312153	400	510476	0	0
random	parse_only_sonic	5276.086	1.516275	3.336946	0.280219	400	510476	0	0
random	parse_only_serde	860.274	9.299360	17.728096	0.228090	400	510476	0	0
gsoc-2018	parse_only_track1	5295.553	1.510702	1.931141	0.336941	400	3327831	0	0
gsoc-2018	parse_only_track2	4602.684	1.738116	2.217895	0.318221	400	3327831	0	0
gsoc-2018	parse_only_sonic	11659.892	0.686113	1.046744	0.323756	400	3327831	0	0
gsoc-2018	parse_only_serde	3977.328	2.011401	3.885855	0.266115	400	3327831	0	0
instruments	parse_only_track1	4281.770	1.868386	3.058458	0.308131	400	220346	0	0
instruments	parse_only_track2	2748.324	2.910865	4.273331	0.309380	400	220346	0	0
instruments	parse_only_sonic	3457.276	2.313961	2.738901	0.255781	400	220346	0	0
instruments	parse_only_serde	805.949	9.926187	12.455470	0.239561	400	220346	0	0
distinct_values	parse_only_track1	1819.559	4.396669	5.719155	0.457492	400	153630	0	0
distinct_values	parse_only_track2	1734.641	4.611905	7.148211	0.351047	400	153630	0	0
distinct_values	parse_only_sonic	4028.910	1.985649	2.831193	0.311794	400	153630	0	0
distinct_values	parse_only_serde	751.693	10.642648	15.955253	0.227292	400	153630	0	0
