corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	warmup_iters	checksum
twitter	parse_only_track1	5217.050	1.533434	3.054952	0.372758	400	631515	0	0
twitter	parse_only_track2	4072.240	1.964521	3.899053	0.332364	400	631515	0	0
twitter	parse_only_sonic	7003.048	1.142360	2.219508	0.299412	400	631515	0	0
twitter	parse_only_serde	1355.244	5.902998	10.233472	0.253070	400	631515	0	0
citm_catalog	parse_only_track1	7597.992	1.052910	1.864190	0.279508	400	1727204	0	0
citm_catalog	parse_only_track2	6560.750	1.219373	2.569688	0.294529	400	1727204	0	0
citm_catalog	parse_only_sonic	12269.369	0.652030	1.567133	0.241410	400	1727204	0	0
citm_catalog	parse_only_serde	4030.162	1.985032	5.862654	0.167011	400	1727204	0	0
canada	parse_only_track1	15260.544	0.524228	1.902627	0.117758	400	2251051	0	0
canada	parse_only_track2	8680.197	0.921638	3.671301	0.202435	400	2251051	0	0
canada	parse_only_sonic	12513.220	0.639324	2.595106	0.220390	400	2251051	0	0
canada	parse_only_serde	4360.385	1.834700	6.976003	0.169856	400	2251051	0	0
apache_builds	parse_only_track1	10320.063	0.775189	2.919140	0.323620	400	127275	0	0
apache_builds	parse_only_track2	8103.462	0.987232	3.726562	0.289045	400	127275	0	0
apache_builds	parse_only_sonic	11993.874	0.667007	2.655387	0.300141	400	127275	0	0
apache_builds	parse_only_serde	3260.557	2.453568	8.439873	0.181635	400	127275	0	0
github_events	parse_only_track1	10445.362	0.765890	2.706777	0.340258	400	65132	0	0
github_events	parse_only_track2	8825.957	0.906417	3.292487	0.290649	400	65132	0	0
github_events	parse_only_sonic	14768.115	0.541708	1.947071	0.300921	400	65132	0	0
github_events	parse_only_serde	4160.830	1.922693	6.874129	0.185410	400	65132	0	0
update_center	parse_only_track1	7542.431	1.060666	3.705425	0.379571	400	533178	0	0
update_center	parse_only_track2	5833.463	1.371398	4.806891	0.317463	400	533178	0	0
update_center	parse_only_sonic	12586.788	0.635587	2.308926	0.344878	400	533178	0	0
update_center	parse_only_serde	2472.482	3.235615	11.584126	0.201242	400	533178	0	0
mesh	parse_only_track1	11965.578	0.668584	2.404275	0.124549	400	723597	0	0
mesh	parse_only_track2	6196.232	1.291107	4.641540	0.211065	400	723597	0	0
