corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	warmup_iters	checksum
twitter	parse_only_track1	4420.045	1.809936	3.057609	0.372993	400	631515	0	0
twitter	parse_only_track2	3503.577	2.283381	3.899449	0.332192	400	631515	0	0
twitter	parse_only_sonic	6558.536	1.219784	2.228576	0.300479	400	631515	0	0
twitter	parse_only_serde	1465.408	5.459229	10.317712	0.255279	400	631515	0	0
citm_catalog	parse_only_track1	9079.838	0.881073	1.817195	0.274438	400	1727204	0	0
citm_catalog	parse_only_track2	13566.569	0.589685	2.450706	0.281208	400	1727204	0	0
citm_catalog	parse_only_sonic	8335.772	0.959719	1.696150	0.261079	400	1727204	0	0
citm_catalog	parse_only_serde	5121.472	1.562051	5.920921	0.168517	400	1727204	0	0
apache_builds	parse_only_track1	5282.550	1.514420	3.013569	0.333948	400	127275	0	0
apache_builds	parse_only_track2	4504.079	1.776168	4.080802	0.316644	400	127275	0	0
apache_builds	parse_only_sonic	6931.826	1.154097	2.637442	0.298402	400	127275	0	0
apache_builds	parse_only_serde	1787.436	4.475686	10.284292	0.221344	400	127275	0	0
github_events	parse_only_track1	6492.581	1.232176	2.822207	0.355696	400	65132	0	0
github_events	parse_only_track2	5011.128	1.596447	3.641576	0.321416	400	65132	0	0
github_events	parse_only_sonic	8773.064	0.911882	2.069290	0.319788	400	65132	0	0
github_events	parse_only_serde	1927.685	4.150055	8.566914	0.231153	400	65132	0	0
update_center	parse_only_track1	4463.120	1.792468	3.875866	0.397093	400	533178	0	0
update_center	parse_only_track2	3545.363	2.256469	5.181304	0.342310	400	533178	0	0
update_center	parse_only_sonic	7846.005	1.019627	2.341966	0.350060	400	533178	0	0
update_center	parse_only_serde	1316.433	6.077027	14.757137	0.256323	400	533178	0	0
random	parse_only_track1	4293.231	1.863398	4.715790	0.338153	400	510476	0	0
random	parse_only_track2	3375.276	2.370176	6.220189	0.309667	400	510476	0	0
random	parse_only_sonic	6365.401	1.256794	3.282716	0.277202	400	510476	0	0
random	parse_only_serde	960.435	8.329556	17.138804	0.221024	400	510476	0	0
gsoc-2018	parse_only_track1	5715.140	1.399791	1.889552	0.330827	400	3327831	0	0
gsoc-2018	parse_only_track2	4802.050	1.665955	2.182369	0.313751	400	3327831	0	0
gsoc-2018	parse_only_sonic	9525.661	0.839837	1.071341	0.330989	400	3327831	0	0
gsoc-2018	parse_only_serde	2562.484	3.121971	3.957159	0.270393	400	3327831	0	0
distinct_values	parse_only_track1	1615.308	4.952617	5.753698	0.458547	400	153630	0	0
distinct_values	parse_only_track2	1459.569	5.481069	7.137080	0.350449	400	153630	0	0
distinct_values	parse_only_sonic	4092.898	1.954605	2.754118	0.305815	400	153630	0	0
distinct_values	parse_only_serde	685.139	11.676457	16.165461	0.229660	400	153630	0	0
