corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	warmup_iters	checksum
twitter	parse_only_track1	12896.985	0.620300	2.616933	0.361784	400	631515	0	0
twitter	parse_only_track2	9267.361	0.863245	3.634941	0.310286	400	631515	0	0
twitter	parse_only_sonic	15207.958	0.526040	2.144078	0.288742	400	631515	0	0
twitter	parse_only_serde	4067.473	1.966823	8.225705	0.203437	400	631515	0	0
apache_builds	parse_only_track1	13190.347	0.606504	2.535716	0.333814	400	127275	0	0
apache_builds	parse_only_track2	9003.291	0.888564	3.722641	0.288540	400	127275	0	0
apache_builds	parse_only_sonic	12975.918	0.616527	2.582436	0.291981	400	127275	0	0
apache_builds	parse_only_serde	3925.504	2.037955	8.585572	0.184985	400	127275	0	0
github_events	parse_only_track1	13801.437	0.579650	2.420925	0.350508	400	65132	0	0
github_events	parse_only_track2	10031.783	0.797465	3.339040	0.294399	400	65132	0	0
github_events	parse_only_sonic	16948.127	0.472029	1.955992	0.301802	400	65132	0	0
github_events	parse_only_serde	4645.170	1.722219	7.039163	0.189582	400	65132	0	0
update_center	parse_only_track1	10327.679	0.774617	3.243143	0.403742	400	533178	0	0
update_center	parse_only_track2	7026.706	1.138514	4.806225	0.317462	400	533178	0	0
update_center	parse_only_sonic	14726.746	0.543229	2.300711	0.343722	400	533178	0	0
update_center	parse_only_serde	2919.159	2.740516	11.560399	0.200681	400	533178	0	0
random	parse_only_track1	8300.467	0.963801	3.976574	0.342125	400	510476	0	0
random	parse_only_track2	5652.827	1.415221	5.878596	0.292264	400	510476	0	0
random	parse_only_sonic	10608.654	0.754101	3.133384	0.264321	400	510476	0	0
random	parse_only_serde	2432.817	3.288368	13.869244	0.178685	400	510476	0	0
gsoc-2018	parse_only_track1	22735.525	0.351872	1.482618	0.286167	400	3327831	0	0
gsoc-2018	parse_only_track2	18596.659	0.430185	1.817396	0.261560	400	3327831	0	0
gsoc-2018	parse_only_sonic	36362.421	0.220007	0.927187	0.287260	400	3327831	0	0
gsoc-2018	parse_only_serde	11664.997	0.685812	2.895231	0.198283	400	3327831	0	0
distinct_values	parse_only_track1	6716.364	1.191121	4.999940	0.484204	400	153630	0	0
distinct_values	parse_only_track2	4942.640	1.618568	6.809565	0.335653	400	153630	0	0
distinct_values	parse_only_sonic	12056.984	0.663516	2.801494	0.310871	400	153630	0	0
distinct_values	parse_only_serde	2712.443	2.949370	12.399751	0.176537	400	153630	0	0
apache_builds	parse_only_track1	13129.331	0.609323	2.536491	0.333851	4000	127275	0	0
apache_builds	parse_only_track2	9065.855	0.882432	3.712241	0.287877	4000	127275	0	0
apache_builds	parse_only_sonic	12951.668	0.617681	2.591132	0.292954	4000	127275	0	0
apache_builds	parse_only_serde	3964.266	2.018028	8.484908	0.182484	4000	127275	0	0
apache_builds	parse_only_track1	13285.106	0.602178	2.537301	0.334187	4000	127275	0	0
apache_builds	parse_only_track2	9060.452	0.882958	3.713479	0.287924	4000	127275	0	0
apache_builds	parse_only_sonic	13007.626	0.615024	2.593843	0.293316	4000	127275	0	0
apache_builds	parse_only_serde	3907.761	2.047208	8.575367	0.184738	4000	127275	0	0
apache_builds	parse_only_track1	13305.497	0.601255	2.526157	0.332623	4000	127275	0	0
apache_builds	parse_only_track2	9019.537	0.886964	3.720226	0.288372	4000	127275	0	0
apache_builds	parse_only_sonic	12868.672	0.621665	2.596540	0.293433	4000	127275	0	0
apache_builds	parse_only_serde	3933.754	2.033681	8.486214	0.182787	4000	127275	0	0
