corpus	mode	corpus_bytes	iters	warmup_iters	mbps	ns_per_byte	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
distinct_values	direct_strict_track1	153630	400	0	8755.197	0.913743	233739470	1341141314	3.803610	0.174284	1319782	13122	0
distinct_values	direct_strict_track2	153630	400	0	3271.314	2.445501	628667238	3552092233	10.230216	0.176985	3537076	30492	0
distinct_values	direct_strict_sonic	153630	400	0	3907.274	2.047463	531204721	3204688956	8.644222	0.165759	2973301	22140	0
distinct_values	direct_strict_serde	153630	400	0	3341.595	2.394066	619330191	3551328865	10.078276	0.174394	3474630	25893	0
citm_catalog	direct_strict_track1	1727204	400	0	33366.495	0.239761	688083949	4893897822	0.995951	0.140600	3887536	33700	0
citm_catalog	direct_strict_track2	1727204	400	0	17882.926	0.447354	1296143793	8137597871	1.876072	0.159278	7282207	57477	0
citm_catalog	direct_strict_sonic	1727204	400	0	21250.015	0.376470	1094007559	4710982045	1.583495	0.232225	6137339	47024	0
citm_catalog	direct_strict_serde	1727204	400	0	18438.265	0.433880	1263430435	8136203801	1.828722	0.155285	7082875	46387	0
canada	direct_strict_track1	2251051	400	0	4749.599	1.684353	6402199431	37253354602	7.110234	0.171856	35840628	258130	0
canada	direct_strict_track2	2251051	400	0	3479.489	2.299188	8733876679	50952258810	9.699777	0.171413	48905252	358031	0
canada	direct_strict_sonic	2251051	400	0	2733.746	2.926387	11061710055	67156176217	12.285050	0.164716	61983011	484925	0
canada	direct_strict_serde	2251051	400	0	3470.303	2.305274	8751473775	50952139273	9.719320	0.171759	49008386	369994	0
random	direct_strict_track1	510476	400	0	7977.902	1.002770	862856734	4718550889	4.225746	0.182865	4839676	33673	0
random	direct_strict_track2	510476	400	0	4315.329	1.853856	1597467169	8106993918	7.823420	0.197048	8944777	62387	0
random	direct_strict_sonic	510476	400	0	5754.672	1.390175	1197061950	6665246645	5.862479	0.179598	6698298	50382	0
random	direct_strict_serde	510476	400	0	4261.612	1.877224	1603630027	8110130551	7.853601	0.197732	9023201	72402	0
apache_builds	direct_strict_track1	127275	400	0	7483.813	1.068974	229302860	874915869	4.504083	0.262086	1284725	9710	0
apache_builds	direct_strict_track2	127275	400	0	5400.085	1.481458	318526498	1457753709	6.256659	0.218505	1781023	13455	0
apache_builds	direct_strict_sonic	127275	400	0	6327.769	1.264269	269210012	1256292400	5.287959	0.214289	1506939	17908	0
apache_builds	direct_strict_serde	127275	400	0	5373.285	1.488847	319178660	1457902352	6.269469	0.218930	1785061	15760	0
instruments	direct_strict_track1	220346	400	0	18191.796	0.439759	162656797	1179802502	1.845470	0.137868	909629	10811	0
instruments	direct_strict_track2	220346	400	0	11352.091	0.704716	261946179	1618395162	2.971987	0.161856	1465773	11856	0
instruments	direct_strict_sonic	220346	400	0	14488.541	0.552160	204352932	1174491786	2.318546	0.173993	1142248	13392	0
instruments	direct_strict_serde	220346	400	0	11363.556	0.704005	261466843	1618261665	2.966549	0.161573	1465883	10655	0
unicode_basic	direct_strict_track1	1048586	400	0	6177.340	1.295056	2292999344	9527725546	5.466884	0.240666	12831731	88215	0
unicode_basic	direct_strict_track2	1048586	400	0	3423.127	2.337044	4122345324	17763431561	9.828343	0.232069	23068564	194004	0
unicode_basic	direct_strict_sonic	1048586	400	0	4692.661	1.704790	3012457136	14491250663	7.182189	0.207881	16849307	133934	0
unicode_basic	direct_strict_serde	1048586	400	0	3446.968	2.320880	4106136168	17758775755	9.789698	0.231217	22975388	171329	0
github_events	direct_strict_track1	65132	400	0	12501.469	0.639925	70679299	338921845	2.712925	0.208542	394218	2946	0
github_events	direct_strict_track2	65132	400	0	11021.444	0.725858	80117348	350736589	3.075191	0.228426	447751	2669	0
github_events	direct_strict_sonic	65132	400	0	11012.854	0.726424	79796270	303211972	3.062867	0.263170	444773	5702	0
github_events	direct_strict_serde	65132	400	0	10724.512	0.745955	81316804	350844965	3.121231	0.231774	456166	4340	0
mesh	direct_strict_track1	723597	400	0	9036.398	0.885308	1080204248	7704780627	3.732064	0.140199	6046040	46880	0
