corpus	mode	mbps	checksum	cold_iters	warmup_iters
twitter	parse_only_track1	7452.818	0	400	0
twitter	parse_only_track2	5657.280	0	400	0
twitter	parse_only_sonic	10576.937	0	400	0
twitter	parse_only_serde	2780.152	0	400	0
github_events	parse_only_track1	8989.536	0	400	0
github_events	parse_only_track2	6891.060	0	400	0
github_events	parse_only_sonic	11618.018	0	400	0
github_events	parse_only_serde	3323.240	0	400	0
update_center	parse_only_track1	7224.976	0	400	0
update_center	parse_only_track2	5882.991	0	400	0
update_center	parse_only_sonic	12737.485	0	400	0
update_center	parse_only_serde	2537.441	0	400	0
random	parse_only_track1	7271.271	0	400	0
random	parse_only_track2	5133.326	0	400	0
random	parse_only_sonic	9726.409	0	400	0
random	parse_only_serde	2141.373	0	400	0
gsoc-2018	parse_only_track1	11251.547	0	400	0
gsoc-2018	parse_only_track2	13659.166	0	400	0
gsoc-2018	parse_only_sonic	27975.548	0	400	0
gsoc-2018	parse_only_serde	9597.922	0	400	0
distinct_values	parse_only_track1	8951.894	0	400	0
distinct_values	parse_only_track2	4280.710	0	400	0
distinct_values	parse_only_sonic	10467.320	0	400	0
distinct_values	parse_only_serde	2270.356	0	400	0
canada	parse_only_track1	8829.297	0	400	0
canada	parse_only_track2	8318.938	0	400	0
canada	parse_only_sonic	12138.999	0	400	0
canada	parse_only_serde	4346.916	0	400	0
instruments	parse_only_track1	9354.046	0	400	0
instruments	parse_only_track2	6762.464	0	400	0
instruments	parse_only_sonic	11632.217	0	400	0
instruments	parse_only_serde	2700.023	0	400	0
apache_builds	parse_only_track1	8879.506	0	400	0
apache_builds	parse_only_track2	7029.988	0	400	0
apache_builds	parse_only_sonic	9981.721	0	400	0
apache_builds	parse_only_serde	3185.945	0	400	0
citm_catalog	parse_only_track1	11664.581	0	400	0
citm_catalog	parse_only_track2	10174.949	0	400	0
citm_catalog	parse_only_sonic	14562.514	0	400	0
citm_catalog	parse_only_serde	3774.466	0	400	0
