corpus	mode	mbps	ns_per_byte	cycles_per_byte	instructions	checksum
twitter	parse_only_track1	3996.677	2.001663	4.123530	4266212743	0
twitter	parse_only_track2	4664.479	1.715090	4.012207	2967116267	0
twitter	parse_only_sonic	6132.269	1.304574	2.294303	1877509608	0
twitter	parse_only_serde	1572.349	5.087928	11.628864	10263606970	0
github_events	parse_only_track1	5681.323	1.408123	3.587993	415522888	0
github_events	parse_only_track2	5127.715	1.560149	3.814192	296490603	0
github_events	parse_only_sonic	9691.079	0.825501	2.085544	168850222	0
github_events	parse_only_serde	2279.674	3.509274	8.950451	969680773	0
update_center	parse_only_track1	4267.644	1.874571	4.641508	4019744778	0
update_center	parse_only_track2	3442.816	2.323679	5.396209	3249154542	0
update_center	parse_only_sonic	7745.797	1.032818	2.431471	1433446813	0
update_center	parse_only_serde	1121.438	7.133697	16.780830	12353886215	0
random	parse_only_track1	3009.075	2.658625	5.605037	5129297441	0
random	parse_only_track2	2643.953	3.025773	6.451903	4117982825	0
random	parse_only_sonic	5799.474	1.379435	3.324584	2420562723	0
random	parse_only_serde	637.535	12.548335	18.925753	15989185108	0
gsoc-2018	parse_only_track1	3465.988	2.308144	3.735164	18255830379	0
gsoc-2018	parse_only_track2	3330.165	2.402283	2.395218	9389181219	0
gsoc-2018	parse_only_sonic	7814.061	1.023795	1.178573	4369483677	0
gsoc-2018	parse_only_serde	2622.620	3.050384	4.556050	19747972470	0
distinct_values	parse_only_track1	4083.236	1.959230	4.585622	1282500418	0
distinct_values	parse_only_track2	2697.714	2.965474	7.232253	1251962244	0
distinct_values	parse_only_sonic	6565.786	1.218437	2.889899	557482093	0
distinct_values	parse_only_serde	1274.605	6.276456	16.665477	4343135670	0
canada	parse_only_track1	3456.044	2.314785	5.200403	24337193158	0
canada	parse_only_track2	3950.984	2.024812	4.371276	16376330967	0
canada	parse_only_sonic	4338.848	1.843807	2.742156	10657701328	0
canada	parse_only_serde	1393.704	5.740102	9.816030	37208828934	0
instruments	parse_only_track1	2968.305	2.695141	4.465216	1764819294	0
instruments	parse_only_track2	2920.115	2.739618	4.472267	1224897108	0
instruments	parse_only_sonic	3791.911	2.109754	2.798918	946256878	0
instruments	parse_only_serde	728.766	10.977462	13.533533	4625776408	0
apache_builds	parse_only_track1	2306.721	3.468127	4.317333	944244680	0
apache_builds	parse_only_track2	2235.968	3.577869	4.401579	666255278	0
apache_builds	parse_only_sonic	3701.299	2.161403	2.782317	454941710	0
apache_builds	parse_only_serde	818.956	9.768536	11.875683	2393654175	0
citm_catalog	parse_only_track1	3890.812	2.056126	3.565993	11774901366	0
citm_catalog	parse_only_track2	7432.051	1.076419	2.648272	6032500011	0
citm_catalog	parse_only_sonic	11096.745	0.720932	1.647685	4491697866	0
citm_catalog	parse_only_serde	2478.349	3.227955	7.577716	24382919422	0
