corpus	mode	mbps	ns_per_byte	cycles_per_byte	instructions	cycles	cpi	checksum
twitter	parse_only_track1	4678.553	1.709931	2.888042	1838602176	729536698	0.396789	0
twitter	parse_only_track2	1721.193	4.647940	4.220415	2992357191	1066102078	0.356275	0
twitter	parse_only_sonic	4190.548	1.909058	2.382420	1888127039	601813679	0.318736	0
twitter	parse_only_serde	683.034	11.712446	12.015436	10312531153	3035171205	0.294319	0
github_events	parse_only_track1	3803.435	2.103362	2.694072	180537009	70188121	0.388774	0
github_events	parse_only_track2	2608.042	3.067436	3.825618	297198830	99668065	0.335358	0
github_events	parse_only_sonic	4241.112	1.886298	2.154706	169904331	56136125	0.330398	0
github_events	parse_only_serde	1034.263	7.734975	9.670247	971538091	251937019	0.259318	0
update_center	parse_only_track1	2257.298	3.544060	3.582059	1724336897	763950043	0.443040	0
update_center	parse_only_track2	1722.817	4.643558	5.531959	3247553849	1179807573	0.363291	0
update_center	parse_only_sonic	3184.931	2.511828	2.437517	1435890068	519852070	0.362042	0
update_center	parse_only_serde	643.926	12.423795	16.391194	12361900925	3495769589	0.282786	0
random	parse_only_track1	2287.982	3.496531	4.221455	2378438090	861980568	0.362415	0
random	parse_only_track2	1429.771	5.595303	6.455484	4128525005	1318147903	0.319278	0
random	parse_only_sonic	2465.184	3.245194	3.410593	2435929273	696410447	0.285891	0
random	parse_only_serde	507.987	15.748448	18.211452	15934167789	3718603730	0.233373	0
gsoc-2018	parse_only_track1	4873.482	1.641537	1.855032	6941362648	2469292754	0.355736	0
gsoc-2018	parse_only_track2	4087.574	1.957151	2.295666	9315540990	3055834827	0.328036	0
gsoc-2018	parse_only_sonic	8278.655	0.966341	1.107408	4319751297	1474106976	0.341248	0
gsoc-2018	parse_only_serde	3165.605	2.527163	4.211390	19611819595	5605918030	0.285844	0
distinct_values	parse_only_track1	1860.416	4.300113	5.299493	640787082	325664451	0.508226	0
distinct_values	parse_only_track2	1322.602	6.048684	7.211950	1252493772	443188736	0.353845	0
distinct_values	parse_only_sonic	3319.102	2.410290	2.834683	556661437	174196947	0.312932	0
distinct_values	parse_only_serde	481.013	16.631557	17.221974	4354885216	1058324767	0.243020	0
canada	parse_only_track1	3809.871	2.099809	2.360174	12626264168	2125148696	0.168312	0
canada	parse_only_track2	3563.038	2.245275	4.376995	16354079333	3941135225	0.240988	0
canada	parse_only_sonic	6013.284	1.330388	2.712621	10616456567	2442498845	0.230067	0
canada	parse_only_serde	2089.169	3.829274	9.374555	37013093427	8441041001	0.228056	0
instruments	parse_only_track1	7379.487	1.084086	2.781707	786057899	245175190	0.311905	0
instruments	parse_only_track2	4782.858	1.672640	4.221380	1212619114	372065701	0.306828	0
instruments	parse_only_sonic	7375.309	1.084700	2.679968	939441871	236208058	0.251434	0
instruments	parse_only_serde	1512.731	5.288450	12.367582	4575335579	1090058890	0.238247	0
apache_builds	parse_only_track1	6838.189	1.169900	2.706045	386737516	137764761	0.356223	0
apache_builds	parse_only_track2	5005.261	1.598318	4.140217	656925580	210778428	0.320856	0
apache_builds	parse_only_sonic	7615.622	1.050472	2.736364	450846779	139308273	0.308992	0
apache_builds	parse_only_serde	1822.739	4.388999	10.669398	2369276150	543179062	0.229259	0
citm_catalog	parse_only_track1	10990.301	0.727915	1.618570	4029856913	1118240070	0.277489	0
citm_catalog	parse_only_track2	7102.395	1.126381	2.658563	6029819762	1836752073	0.304611	0
citm_catalog	parse_only_sonic	12101.253	0.661089	1.686120	4485338553	1164909418	0.259715	0
citm_catalog	parse_only_serde	2524.594	3.168826	8.090755	24325905314	5589753979	0.229786	0
