corpus	mode	mbps	ns_per_byte	cycles_per_byte	instructions	cycles	cpi	checksum
twitter	parse_only_track1	7394.633	1.081866	2.806347	2915535583	708900073	0.243146	0
twitter	parse_only_track2	5693.704	1.405061	3.623593	3746348388	915341430	0.244329	0
twitter	parse_only_sonic	10089.942	0.792869	2.100230	1871854369	530530641	0.283425	0
twitter	parse_only_serde	2132.681	3.751147	8.475227	10241187666	2140893085	0.209047	0
github_events	parse_only_track1	5919.577	1.351448	2.641222	274421977	68811238	0.250750	0
github_events	parse_only_track2	4955.118	1.614492	3.262681	349112423	85001977	0.243480	0
github_events	parse_only_sonic	7861.597	1.017605	1.980863	168971776	51607016	0.305418	0
github_events	parse_only_serde	2208.036	3.623129	7.242327	963911511	188682884	0.195747	0
update_center	parse_only_track1	4258.687	1.878513	3.740442	3018612802	797728457	0.264270	0
update_center	parse_only_track2	3670.856	2.179328	5.313890	4119788277	1133299768	0.275087	0
update_center	parse_only_sonic	8573.849	0.933070	2.377210	1429222556	506990413	0.354732	0
update_center	parse_only_serde	1168.615	6.845711	15.862902	12333007732	3383100137	0.274313	0
random	parse_only_track1	2798.992	2.858172	4.898128	3702809974	1000150707	0.270106	0
random	parse_only_track2	2560.145	3.124823	6.614266	4997284213	1350569539	0.270261	0
random	parse_only_sonic	5037.784	1.588000	3.362117	2425812225	686512007	0.283003	0
random	parse_only_serde	742.209	10.778631	18.801980	15935787054	3839183887	0.240916	0
gsoc-2018	parse_only_track1	7641.852	1.046867	2.062401	9654720681	2745328715	0.284351	0
gsoc-2018	parse_only_track2	8001.342	0.999832	2.168371	9969568940	2886388352	0.289520	0
gsoc-2018	parse_only_sonic	18182.891	0.439974	1.030120	4306872360	1371225464	0.318381	0
gsoc-2018	parse_only_serde	4930.819	1.622448	3.417774	19600510697	4549510351	0.232112	0
distinct_values	parse_only_track1	2918.153	2.741460	5.766068	1391115734	354336436	0.254714	0
distinct_values	parse_only_track2	2338.356	3.421207	7.025065	1805735613	431704296	0.239074	0
distinct_values	parse_only_sonic	6047.749	1.322806	2.836929	554631936	174334983	0.314326	0
distinct_values	parse_only_serde	1213.157	6.594363	14.505979	4332589943	891421401	0.205748	0
canada	parse_only_track1	8086.475	0.989306	2.319121	12677866154	2088183575	0.164711	0
canada	parse_only_track2	4491.298	1.781222	4.350629	16350329636	3917395374	0.239591	0
canada	parse_only_sonic	7151.280	1.118681	2.687516	10620741921	2419894307	0.227846	0
canada	parse_only_serde	2148.703	3.723176	9.257062	37015079097	8335247099	0.225185	0
instruments	parse_only_track1	6664.616	1.200369	3.086714	1120390793	272058044	0.242824	0
instruments	parse_only_track2	4490.042	1.781721	4.534493	1499491863	399662990	0.266532	0
instruments	parse_only_sonic	7847.626	1.019417	2.626845	937492329	231525932	0.246963	0
instruments	parse_only_serde	1705.175	4.691600	12.054029	4571892554	1062422836	0.232381	0
apache_builds	parse_only_track1	7387.596	1.082896	2.840983	527707345	144634441	0.274081	0
apache_builds	parse_only_track2	5332.510	1.500232	3.919166	721217174	199524732	0.276650	0
apache_builds	parse_only_sonic	7375.717	1.084640	2.718672	450937605	138407599	0.306933	0
apache_builds	parse_only_serde	1820.484	4.394436	10.897197	2371399973	554776305	0.233945	0
citm_catalog	parse_only_track1	10610.161	0.753994	1.725377	5223229395	1192031478	0.228217	0
citm_catalog	parse_only_track2	5876.329	1.361394	2.800293	7125089136	1934670969	0.271529	0
citm_catalog	parse_only_sonic	6622.945	1.207922	1.730152	4500827936	1195329884	0.265580	0
citm_catalog	parse_only_serde	1236.853	6.468027	8.051884	24383702541	5562898498	0.228140	0
