corpus	mode	iters	warmup_iters	corpus_bytes	elapsed_s	ns_per_byte	mbps	cycles	instructions	cycles_per_byte	cpi	checksum
twitter	parse_only_track1	400	0	631515	0.242038	0.958165	8349.290	373769419	1577851513	1.479654	0.236885	0
twitter	parse_only_track2	400	0	631515	0.443337	1.755054	4558.264	678296036	2542818379	2.685194	0.266750	0
twitter	parse_only_sonic	400	0	631515	0.411319	1.628302	4913.095	574844615	1875089226	2.275657	0.306569	0
twitter	parse_only_serde	400	0	631515	2.357533	9.332846	857.188	2882555177	10269733392	11.411270	0.280685	0
github_events	parse_only_track1	400	0	65132	0.025578	0.981766	8148.582	35315794	145268916	1.355547	0.243106	0
github_events	parse_only_track2	400	0	65132	0.040925	1.570868	5092.727	60505375	236778133	2.322414	0.255536	0
github_events	parse_only_sonic	400	0	65132	0.041564	1.595395	5014.433	55139039	169274044	2.116434	0.325738	0
github_events	parse_only_serde	400	0	65132	0.183855	7.057017	1133.624	247820709	971475483	9.512249	0.255097	0
update_center	parse_only_track1	400	0	533178	0.300840	1.410600	5671.345	434693339	1461052653	2.038219	0.297521	0
update_center	parse_only_track2	400	0	533178	0.601209	2.818987	2837.898	851655281	2726486669	3.993297	0.312364	0
update_center	parse_only_sonic	400	0	533178	0.362428	1.699375	4707.613	514153058	1432945997	2.410795	0.358808	0
update_center	parse_only_serde	400	0	533178	2.563583	12.020297	665.541	3417704644	12351338633	16.025158	0.276707	0
random	parse_only_track1	400	0	510476	0.528012	2.585880	3093.724	605153338	2273376164	2.963672	0.266191	0
random	parse_only_track2	400	0	510476	0.676684	3.313986	2414.011	1019273587	3732007293	4.991780	0.273117	0
random	parse_only_sonic	400	0	510476	0.556138	2.723623	2937.264	685332033	2427770938	3.356338	0.282289	0
random	parse_only_serde	400	0	510476	2.733823	13.388597	597.523	3715148875	15916051900	18.194533	0.233422	0
gsoc-2018	parse_only_track1	400	0	3327831	0.805935	0.605450	13213.304	1239889998	4108535891	0.931455	0.301784	0
gsoc-2018	parse_only_track2	400	0	3327831	1.526493	1.146763	6976.158	1741987601	5701877981	1.308651	0.305511	0
gsoc-2018	parse_only_sonic	400	0	3327831	0.937793	0.704508	11355.449	1438171751	4306842046	1.080412	0.333927	0
gsoc-2018	parse_only_serde	400	0	3327831	3.703712	2.782377	2875.240	5478474210	19607320020	4.115649	0.279410	0
distinct_values	parse_only_track1	400	0	153630	0.095363	1.551829	5155.207	136530810	532623664	2.221747	0.256336	0
distinct_values	parse_only_track2	400	0	153630	0.204249	3.323723	2406.940	258989799	1055074758	4.214506	0.245471	0
distinct_values	parse_only_sonic	400	0	153630	0.152025	2.473884	3233.781	173605063	556090893	2.825051	0.312188	0
distinct_values	parse_only_serde	400	0	153630	0.850685	13.843073	577.906	1018018748	4337731979	16.566080	0.234689	0
canada	parse_only_track1	400	0	2251051	2.038899	2.264385	3532.967	2151456333	12972667720	2.389391	0.165845	0
canada	parse_only_track2	400	0	2251051	3.028544	3.363477	2378.491	3880695000	15869772216	4.309870	0.244534	0
canada	parse_only_sonic	400	0	2251051	2.658108	2.952075	2709.958	2569058823	10689929978	2.853177	0.240325	0
canada	parse_only_serde	400	0	2251051	6.654322	7.390239	1082.509	8184717113	37077745441	9.089884	0.220745	0
instruments	parse_only_track1	400	0	220346	0.155416	1.763322	4536.891	155485254	761529444	1.764103	0.204175	0
instruments	parse_only_track2	400	0	220346	0.256456	2.909696	2749.428	293771555	1136887234	3.333071	0.258400	0
instruments	parse_only_sonic	400	0	220346	0.188176	2.135011	3747.053	234887998	939301332	2.664990	0.250067	0
instruments	parse_only_serde	400	0	220346	1.061218	12.040356	664.432	1110340075	4588835390	12.597688	0.241966	0
apache_builds	parse_only_track1	400	0	127275	0.061958	1.217011	6573.481	94488152	346299308	1.855984	0.272851	0
apache_builds	parse_only_track2	400	0	127275	0.104938	2.061254	3881.132	160139535	560569417	3.145542	0.285673	0
apache_builds	parse_only_sonic	400	0	127275	0.090090	1.769592	4520.817	137246056	451223013	2.695857	0.304165	0
apache_builds	parse_only_serde	400	0	127275	0.403040	7.916708	1010.521	561283030	2377944304	11.025005	0.236037	0
citm_catalog	parse_only_track1	400	0	1727204	0.525582	0.760741	10516.060	799979114	3856212800	1.157911	0.207452	0
citm_catalog	parse_only_track2	400	0	1727204	0.981243	1.420277	5632.705	1544008754	5650547604	2.234838	0.273249	0
citm_catalog	parse_only_sonic	400	0	1727204	0.600965	0.869853	9196.957	1157882720	4485911238	1.675950	0.258115	0
citm_catalog	parse_only_serde	400	0	1727204	2.233821	3.233290	2474.260	5364438046	24329081573	7.764627	0.220495	0
