corpus	mode	mbps	ns_per_byte	cycles_per_byte	cpi	iters	bytes	checksum
twitter	real_typed_track1	10705.052	0.747311	1.912594	0.180298	400	631515	0
twitter	real_typed_track2	9586.954	0.834467	2.136526	0.223323	400	631515	0
twitter	real_typed_sonic	8952.253	0.893630	2.285467	0.286407	400	631515	0
twitter	real_typed_serde	9512.038	0.841040	2.150704	0.224756	400	631515	0
citm_catalog	real_typed_track1	20512.601	0.390004	0.991453	0.139620	400	1727204	0
citm_catalog	real_typed_track2	10706.391	0.747217	1.908335	0.162055	400	1727204	0
citm_catalog	real_typed_sonic	12662.292	0.631797	1.595365	0.234068	400	1727204	0
citm_catalog	real_typed_serde	9918.074	0.806608	1.821095	0.154631	400	1727204	0
apache_builds	real_typed_track1	4352.262	1.838124	4.146814	0.243280	400	127275	0
apache_builds	real_typed_track2	2905.902	2.753018	6.220684	0.217734	400	127275	0
apache_builds	real_typed_sonic	3390.813	2.359316	5.342977	0.216422	400	127275	0
apache_builds	real_typed_serde	2920.240	2.739501	6.206653	0.217219	400	127275	0
github_events	real_typed_track1	6643.660	1.204156	2.722088	0.209436	400	65132	0
github_events	real_typed_track2	5981.072	1.337553	3.036242	0.226194	400	65132	0
github_events	real_typed_sonic	5975.170	1.338874	3.033770	0.261249	400	65132	0
github_events	real_typed_serde	5985.380	1.336590	3.038130	0.226336	400	65132	0
update_center	real_typed_track1	6776.277	1.180589	2.671130	0.204175	400	533178	0
update_center	real_typed_track2	4928.147	1.623328	3.836524	0.242884	400	533178	0
update_center	real_typed_sonic	5845.377	1.368603	3.097824	0.262543	400	533178	0
update_center	real_typed_serde	4940.864	1.619150	3.766900	0.238516	400	533178	0
mesh	real_typed_track1	4580.286	1.746616	3.954682	0.147038	400	723597	0
mesh	real_typed_track2	3793.603	2.108813	4.784013	0.160352	400	723597	0
mesh	real_typed_sonic	4343.219	1.841952	4.171762	0.157336	400	723597	0
mesh	real_typed_serde	3859.083	2.073031	4.699419	0.157497	400	723597	0
random	real_typed_track1	4354.292	1.837268	4.155140	0.178621	400	510476	0
random	real_typed_track2	2271.467	3.521953	7.922399	0.199820	400	510476	0
random	real_typed_sonic	3041.021	2.630695	5.938147	0.181886	400	510476	0
random	real_typed_serde	1979.073	4.042296	7.918153	0.199590	400	510476	0
marine_ik	real_typed_track1	5515.099	1.450563	2.996633	0.149336	400	2983466	0
marine_ik	real_typed_track2	5064.922	1.579491	3.582492	0.176966	400	2983466	0
marine_ik	real_typed_sonic	5240.980	1.526432	3.877688	0.204173	400	2983466	0
marine_ik	real_typed_serde	5320.003	1.503759	3.582878	0.177048	400	2983466	0
instruments	real_typed_track1	9550.109	0.837687	1.912776	0.141863	400	220346	0
instruments	real_typed_track2	5990.840	1.335372	3.005121	0.164148	400	220346	0
instruments	real_typed_sonic	7779.123	1.028394	2.315809	0.173898	400	220346	0
instruments	real_typed_serde	5982.255	1.337288	3.000621	0.163927	400	220346	0
numbers	real_typed_track1	6608.574	1.210549	2.721122	0.145086	400	150124	0
numbers	real_typed_track2	4866.648	1.643842	3.704884	0.162031	400	150124	0
numbers	real_typed_sonic	6022.910	1.328262	2.996343	0.195959	400	150124	0
numbers	real_typed_serde	4886.992	1.636999	3.672766	0.160605	400	150124	0
unicode_basic	real_typed_track1	3221.328	2.483448	5.695802	0.250694	400	1048586	0
unicode_basic	real_typed_track2	1797.444	4.450765	10.091334	0.238516	400	1048586	0
unicode_basic	real_typed_sonic	2480.522	3.225127	7.229887	0.209205	400	1048586	0
unicode_basic	real_typed_serde	1440.385	5.554072	11.075506	0.260863	400	1048586	0
