row	track1_mbps	lightningcss_mbps	cssparser_mbps	floor_mbps	margin_mbps	admit
css_l4/declaration_values/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/declarations/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/stylesheet_root/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/selectors/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/at_rules_keyframes/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/nested_rules/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/css_variables/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/calc_expressions/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/var_url_functions/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/color_functions/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/gradients/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/transforms/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/filters/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/easing_functions/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/media_queries/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/vendor_prefixes/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/custom_at_rules/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/pseudo_classes/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/pseudo_elements/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/attribute_selectors/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/logical_properties/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/grid/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/flexbox/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
css_l4/typed_property_groups/direct_to_struct/main	2319.041	929.281	2362.037	930.281	1388.760	yes
