artifact_kind	path	exists	bytes	sidecar_path	sidecar_exists	sidecar_bytes	log_path	log_exists
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz	true	48348	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.syms.json	true	8168	/tmp/skv15-p1/logs-interactive/p1a/parse_only__apache_builds__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz	true	73714	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.syms.json	true	8864	/tmp/skv15-p1/logs-interactive/p1a/parse_only__canada__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz	true	40737	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.syms.json	true	12149	/tmp/skv15-p1/logs-interactive/p1a/parse_only__citm_catalog__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__distinct_values__track1.json.gz	true	16598	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__distinct_values__track1.json.syms.json	true	6900	/tmp/skv15-p1/logs-interactive/p1a/parse_only__distinct_values__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__github_events__track1.json.gz	true	41931	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__github_events__track1.json.syms.json	true	9748	/tmp/skv15-p1/logs-interactive/p1a/parse_only__github_events__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__gsoc-2018__track1.json.gz	true	10888	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__gsoc-2018__track1.json.syms.json	true	7092	/tmp/skv15-p1/logs-interactive/p1a/parse_only__gsoc-2018__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__instruments__track1.json.gz	true	23269	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__instruments__track1.json.syms.json	true	7090	/tmp/skv15-p1/logs-interactive/p1a/parse_only__instruments__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__marine_ik__track1.json.gz	true	26067	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__marine_ik__track1.json.syms.json	true	9384	/tmp/skv15-p1/logs-interactive/p1a/parse_only__marine_ik__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__mesh__track1.json.gz	true	45759	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__mesh__track1.json.syms.json	true	8359	/tmp/skv15-p1/logs-interactive/p1a/parse_only__mesh__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__numbers__track1.json.gz	true	26413	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__numbers__track1.json.syms.json	true	6352	/tmp/skv15-p1/logs-interactive/p1a/parse_only__numbers__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__random__track1.json.gz	true	44719	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__random__track1.json.syms.json	true	8723	/tmp/skv15-p1/logs-interactive/p1a/parse_only__random__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__twitter__track1.json.gz	true	51889	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__twitter__track1.json.syms.json	true	10854	/tmp/skv15-p1/logs-interactive/p1a/parse_only__twitter__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__unicode_basic__track1.json.gz	true	21960	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__unicode_basic__track1.json.syms.json	true	7525	/tmp/skv15-p1/logs-interactive/p1a/parse_only__unicode_basic__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__unicode_escapes__track1.json.gz	true	94619	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__unicode_escapes__track1.json.syms.json	true	9751	/tmp/skv15-p1/logs-interactive/p1a/parse_only__unicode_escapes__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__unicode_mixed__track1.json.gz	true	93495	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__unicode_mixed__track1.json.syms.json	true	12407	/tmp/skv15-p1/logs-interactive/p1a/parse_only__unicode_mixed__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__update_center__track1.json.gz	true	30082	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__update_center__track1.json.syms.json	true	7956	/tmp/skv15-p1/logs-interactive/p1a/parse_only__update_center__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__y_string_unicode__track1.json.gz	true	24289	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__y_string_unicode__track1.json.syms.json	true	6616	/tmp/skv15-p1/logs-interactive/p1a/parse_only__y_string_unicode__track1.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__apache_builds.json.gz	true	18799	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__apache_builds.json.syms.json	true	11169	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__apache_builds.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__canada.json.gz	true	133693	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__canada.json.syms.json	true	17218	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__canada.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__citm_catalog.json.gz	true	8093	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__citm_catalog.json.syms.json	true	13021	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__citm_catalog.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__distinct_values.json.gz	true	41817	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__distinct_values.json.syms.json	true	13131	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__distinct_values.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__github_events.json.gz	true	17798	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__github_events.json.syms.json	true	12742	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__github_events.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__gsoc-2018.json.gz	true	28761	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__gsoc-2018.json.syms.json	true	11363	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__gsoc-2018.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__instruments.json.gz	true	16989	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__instruments.json.syms.json	true	17337	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__instruments.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__marine_ik.json.gz	true	19108	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__marine_ik.json.syms.json	true	11467	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__marine_ik.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__mesh.json.gz	true	23123	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__mesh.json.syms.json	true	12402	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__mesh.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__numbers.json.gz	true	19839	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__numbers.json.syms.json	true	9153	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__numbers.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__random.json.gz	true	25672	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__random.json.syms.json	true	11710	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__random.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__twitter.json.gz	true	11670	/tmp/skv15-p1/profiles-interactive/p1b/direct_strict_track1__twitter.json.syms.json	true	12397	/tmp/skv15-p1/logs-interactive/p1b/direct_strict_track1__twitter.log	true
