surface	corpus	rank	pct	samples	total	function	file	line	lib	profile
p1a_parse_only_track1	apache_builds	1	99.73	5640	5655	parse_that_regex::skip_ascii_whitespace	/Users/mkbabb/Programming/bbnf-lang-skv15-profile-279a60646/skinny/crates/parse-that-regex/src/lib.rs	121	profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	apache_builds	2	0.14	8	5655	mach_absolute_time			libsystem_kernel.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	apache_builds	3	0.04	2	5655	0x36108			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	apache_builds	4	0.02	1	5655	__proc_info			libsystem_kernel.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	apache_builds	5	0.02	1	5655	0x2fee0			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	apache_builds	6	0.02	1	5655	0x30204			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	apache_builds	7	0.02	1	5655	__rustc::__rdl_alloc	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/std/src/alloc.rs	450	profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	apache_builds	8	0.02	1	5655	0x3acac			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__apache_builds__track1.json.gz
p1a_parse_only_track1	canada	1	99.87	9214	9226	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	/Users/mkbabb/.rustup/toolchains/nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs	1041	profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	2	0.02	2	9226	read			libsystem_kernel.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	3	0.02	2	9226	0xce8			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	4	0.02	2	9226	0x2b1d0			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	5	0.01	1	9226	0x1f0c4			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	6	0.01	1	9226	profile_direct::run_once	/Users/mkbabb/.rustup/toolchains/nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/result.rs		profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	7	0.01	1	9226	0x16b8			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	8	0.01	1	9226	0x2a0ec			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	9	0.01	1	9226	0x2b06c			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	canada	10	0.01	1	9226	<std::alloc::System as core::alloc::global::GlobalAlloc>::dealloc	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/std/src/sys/alloc/unix.rs	48	profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__canada__track1.json.gz
p1a_parse_only_track1	citm_catalog	1	99.71	4440	4453	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	/Users/mkbabb/.rustup/toolchains/nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs	1041	profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	2	0.07	3	4453	0x2b06c			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	3	0.02	1	4453	read			libsystem_kernel.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	4	0.02	1	4453	core::str::validations::utf8_char_width	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs	279	profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	5	0.02	1	4453	<alloc::raw_vec::RawVec<runtime::generated_json::generated::ParseOnlyFrame>>::grow_one	/Users/mkbabb/.rustup/toolchains/nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/raw_vec/mod.rs	186	profile_direct	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	6	0.02	1	4453	0x1f00c			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	7	0.02	1	4453	0x1f2b4			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	8	0.02	1	4453	_kernelrpc_mach_vm_map_trap			libsystem_kernel.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
p1a_parse_only_track1	citm_catalog	9	0.02	1	4453	0x32148			libsystem_malloc.dylib	/tmp/skv15-p1/profiles-interactive/p1a/parse_only__citm_catalog__track1.json.gz
