surface	corpus	rank	pct	samples	total	function	file	line	lib	profile
p1c_json_probes	apache_builds	1	9.44	194	2054	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs	133	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	2	7.25	149	2054	sha2::sha256::soft::sha256_digest_round_x2	/Users/mkbabb/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/sha2-0.10.9/src/sha256/soft.rs		json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	3	4.87	100	2054	<bbnf_bench::track2::json::Parser>::parse_value_at	/Users/mkbabb/Programming/bbnf-lang-skv15-profile-279a60646/skinny/crates/bbnf-bench/src/track2/json.rs	55	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	4	4.63	95	2054	<core::ptr::non_null::NonNull<u8> as core::cmp::PartialEq>::eq	/Users/mkbabb/.rustup/toolchains/nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/ptr/non_null.rs	1717	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	5	4.63	95	2054	<&mut serde_json::de::Deserializer<serde_json::read::SliceRead> as serde_core::de::Deserializer>::deserialize_str::<<bbnf_bench::real_typed_struct::DecodedJsonString as serde_core::de::Deserialize>::deserialize::DecodedJsonStringVisitor>	/Users/mkbabb/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs	1539	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	6	4.43	91	2054	_platform_memmove			libsystem_platform.dylib	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	7	4.24	87	2054	runtime::generated_json::view::string_body_range	/Users/mkbabb/Programming/bbnf-lang-skv15-profile-279a60646/skinny/crates/runtime/src/grammars/json/view.rs	384	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	8	3.99	82	2054	<alloc::vec::Vec<u32>>::as_slice	/Users/mkbabb/.rustup/toolchains/nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs	1840	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	9	2.73	56	2054	poll			libsystem_kernel.dylib	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	10	2.68	55	2054	<serde_json::read::SliceRead>::skip_to_escape	/Users/mkbabb/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs	434	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	11	2.58	53	2054	<runtime::generated_json::value::JsonValue>::to_canonical_string	/Users/mkbabb/Programming/bbnf-lang-skv15-profile-279a60646/skinny/crates/runtime/src/grammars/json/value.rs	90	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	12	2.19	45	2054	<alloc::vec::Vec<u8>>::clear	/Users/mkbabb/.rustup/toolchains/nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs		json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	13	1.66	34	2054	__open			libsystem_kernel.dylib	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	14	1.66	34	2054	serde_json::de::from_trait::<serde_json::read::SliceRead, alloc::vec::Vec<f64>>	/Users/mkbabb/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs	2503	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	15	1.61	33	2054	runtime::generated_json::generated::match_tiny_plain_string_with_cap::<16>	/Users/mkbabb/Programming/bbnf-lang-skv15-profile-279a60646/skinny/crates/runtime/src/grammars/json/generated.rs		json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	16	1.61	33	2054	<&mut sonic_rs::serde::de::Deserializer<sonic_rs::reader::Read> as serde_core::de::Deserializer>::deserialize_any::<bbnf_bench::direct_struct::DigestVisitor>	/Users/mkbabb/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/sonic-rs-0.5.8/src/serde/de.rs	454	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	17	1.61	33	2054	<sonic_rs::parser::Parser<sonic_rs::reader::Read>>::skip_space	/Users/mkbabb/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/sonic-rs-0.5.8/src/parser.rs	1229	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
p1c_json_probes	apache_builds	18	1.61	33	2054	<serde_json::read::SliceRead as serde_json::read::Read>::next	/Users/mkbabb/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs	548	json_parity-b087d404a70eff21	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz
