surface	corpus	raw_rank	raw_pct	raw_function	raw_file_line	primitive_boundary	attribution_status	s_p2_antecedent_status	redress_routing
p1a_parse_only_track1	twitter	2	0.07	profile_direct::run_once	skinny/crates/bbnf-bench/src/bin/profile_direct.rs:154	harness/checksum-loop	unknown/harness/sidecar-symbolization	blocked:do-not-use-as-parser-primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	twitter	1	75.19	<bbnf_bench::generated_real_typed::DirectParser>::skip_value	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4174	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	twitter	1	38.50	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::ignore_value	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1102	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	twitter	1	74.41	<bbnf_bench::generated_real_typed::DirectParser>::skip_value	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4174	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	twitter	1	39.09	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::ignore_value	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1102	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	twitter	1	8.67	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	twitter	5	5.41	runtime::generated_json::scan::neon::scan	skinny/crates/runtime/src/grammars/json/scan.rs:217	grammar-neutral structural scanner wrapper	generated-json-wrapper-over-generic-scan	allowed only after generic scanner boundary is cited	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	citm_catalog	1	99.71	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1041	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	citm_catalog	1	74.74	<bbnf_bench::generated_real_typed::DirectParser>::skip_value	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4174	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	citm_catalog	2	6.45	<serde_json::read::SliceRead>::skip_to_escape	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:432	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	citm_catalog	1	70.78	<bbnf_bench::generated_real_typed::DirectParser>::skip_value	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4174	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	citm_catalog	1	77.15	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::ignore_value	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1102	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	citm_catalog	1	8.46	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	citm_catalog	5	4.41	bbnf_simd::aarch64::movemask::movemask_u8x16	skinny/crates/bbnf-simd/src/aarch64/movemask.rs:22	NEON movemask scanner primitive	grammar-neutral SIMD scanner	allowed:simd structural scan	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	canada	1	99.87	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::push_mut	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1041	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	canada	3	10.37	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	canada	2	11.32	<serde_json::de::Deserializer<serde_json::read::SliceRead>>::ignore_integer	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:1217	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	canada	2	32.61	<bbnf_bench::generated_real_typed::DirectParser>::tiny_plain_string_end	skinny/crates/bbnf-bench/src/generated_real_typed.rs:4249	generic direct-product parser cursor	generated strict-product wrapper	allowed:cursor/skip/ws primitive, not schema name	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	canada	2	12.91	<serde_json::read::SliceRead as serde_json::read::Read>::position	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:574	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	canada	1	8.69	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	canada	1	37.58	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	apache_builds	1	99.73	parse_that_regex::skip_ascii_whitespace	skinny/crates/parse-that-regex/src/lib.rs:121	generic string/whitespace scanner	grammar-neutral scanner primitive	allowed:scan/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	apache_builds	1	43.90	<u64>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	apache_builds	1	25.44	<core::slice::iter::Iter<bbnf_bench::real_typed_struct::ApacheJob> as core::iter::traits::iterator::Iterator>::next	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/slice/iter/macros.rs:180	typed-product materialization iterator	harness/product-materialization	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	apache_builds	1	44.96	<u64>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	apache_builds	1	25.77	<u64>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
