corpus	plane	track1_cpb	track2_cpb	sonic_cpb	serde_cpb	track1_mbps	track2_mbps	sonic_mbps	serde_mbps	track1_vs_best_comparator
apache_builds	parse_only	1.730170	2.802312	2.633370	8.434286	12554.853	11369.161	12459.083	3559.394	0.657
apache_builds	direct_strict	3.691466	6.783561	6.123698	7.805424	4872.487	2291.893	2549.121	1237.759	0.603
apache_builds	real_typed	3.820623	6.468575	6.671644	7.793214	5539.654	3103.975	1438.071	1259.078	0.573
canada	parse_only	1.776823	4.335606	2.711211	7.046907	13532.685	2358.736	4926.313	2913.854	0.655
canada	direct_strict	7.417804	11.630212	12.424918	9.537421	2917.407	1067.475	2431.222	3203.724	0.778
canada	real_typed	7.505086	10.237192	12.483594	9.496382	2809.262	2191.353	2437.228	3138.377	0.790
citm_catalog	parse_only	1.010066	2.199999	1.700856	7.786250	23838.822	7691.827	11553.570	2470.763	0.594
citm_catalog	direct_strict	0.986332	1.880509	1.789122	2.198297	22037.219	10374.915	11010.501	6900.822	0.551
citm_catalog	real_typed	0.991139	1.914140	1.758363	2.209278	22010.962	14669.300	6196.658	4628.202	0.564
distinct_values	parse_only	2.104504	3.840237	2.792307	14.185250	10080.549	6610.334	8833.933	1065.132	0.754
distinct_values	direct_strict	5.828329	10.878300	8.646479	10.232520	1468.197	1921.470	2295.157	1890.697	0.674
distinct_values	real_typed	3.623116	10.605677	8.588049	10.061400	8885.646	2885.039	2391.771	2041.919	0.422
github_events	parse_only	1.225691	2.278113	2.050114	9.164152	14243.175	4317.169	5105.287	1085.793	0.598
github_events	direct_strict	2.677563	3.188907	3.585649	3.649788	5500.915	6121.345	2774.510	3535.165	0.747
github_events	real_typed	2.479608	3.168980	3.345568	3.397492	7904.561	6770.441	5475.213	5301.402	0.741
gsoc-2018	parse_only	0.939205	1.261339	1.063701	3.926677	7448.408	8156.678	9962.741	2688.833	0.883
gsoc-2018	direct_strict	4.827550	5.633370	5.433903	6.055067	4752.896	3459.363	2387.348	2667.323	0.888
gsoc-2018	real_typed	4.794676	6.355126	5.499237	6.040042	5577.610	2032.539	3442.461	2973.981	0.872
instruments	parse_only	1.819311	3.054968	2.250368	9.773709	4481.035	10474.711	13034.059	2291.454	0.808
instruments	direct_strict	1.810956	3.038855	2.297149	3.012645	16551.591	7161.257	9300.622	7062.411	0.788
instruments	real_typed	1.743488	3.839527	2.289245	3.054602	18644.844	2501.775	10056.587	7378.295	0.762
marine_ik	parse_only	2.743798	5.087151	4.671691	10.451396	2402.829	2300.133	2187.762	1593.152	0.587
marine_ik	direct_strict	2.873548	3.576924	3.829170	3.466395	10025.424	6072.046	5038.047	6238.962	0.829
marine_ik	real_typed	2.923223	4.164794	3.825799	3.450587	10822.175	3078.554	6714.832	8863.458	0.847
mesh	parse_only	2.823981	4.966006	4.705080	8.022622	3410.056	2734.008	4069.735	1990.153	0.600
mesh	direct_strict	5.088510	4.755710	4.655303	4.841541	2172.739	4097.338	3715.926	4395.442	1.093
