source	log	path	corpus	corpus_bytes	iters	mode	warmup_iters	elapsed_s	ns_per_byte	mbps	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
p1a	parse_only__apache_builds__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__apache_builds__track1.log	apache_builds	127275	7858	parse_only_track1	0	0.637285	0.637204	12554.853	1730389931	6820322424	1.730170	0.253711	14210332	320109	0
p1a	parse_only__canada__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__canada__track1.log	canada	2251051	445	parse_only_track1	0	0.592177	0.591161	13532.685	1779874947	14425078617	1.776823	0.123388	13312711	254350	2251051
p1a	parse_only__citm_catalog__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__citm_catalog__track1.log	citm_catalog	1727204	579	parse_only_track1	0	0.335604	0.335587	23838.822	1010117730	5590346904	1.010066	0.180690	7525071	152966	1727204
p1a	parse_only__distinct_values__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__distinct_values__track1.log	distinct_values	153630	6510	parse_only_track1	0	0.793712	0.793608	10080.549	2104780233	8682179193	2.104504	0.242425	17729550	400993	0
p1a	parse_only__github_events__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__github_events__track1.log	github_events	65132	15354	parse_only_track1	0	0.561693	0.561673	14243.175	1225735756	5595715278	1.225691	0.219049	12150587	388920	0
p1a	parse_only__gsoc-2018__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__gsoc-2018__track1.log	gsoc-2018	3327831	301	parse_only_track1	0	1.075856	1.074055	7448.408	940779926	3123043679	0.939205	0.301238	16040939	588516	3327831
p1a	parse_only__instruments__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__instruments__track1.log	instruments	220346	4539	parse_only_track1	0	1.785570	1.785302	4481.035	1819584876	8703879131	1.819311	0.209054	30592206	1816626	220346
p1a	parse_only__marine_ik__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__marine_ik__track1.log	marine_ik	2983466	336	parse_only_track1	0	3.337548	3.329409	2402.829	2750505823	15092461300	2.743798	0.182244	46649323	1927378	0
p1a	parse_only__mesh__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__mesh__track1.log	mesh	723597	1382	parse_only_track1	0	2.346028	2.346002	3410.056	2824012516	16952542546	2.823981	0.166583	47097587	2180439	0
p1a	parse_only__numbers__track1.log	/tmp/skv15-p1/logs/p1a/parse_only__numbers__track1.log	numbers	150124	6662	parse_only_track1	0	2.079754	2.079491	3847.094	2044418196	11085387322	2.044160	0.184425	34333750	2119426	0
