# SK-V17 canonical cold CSS bench  N=200  host=arm64
# schema: corpus workload bytes n median_mbps min_mbps max_mbps stddev_mbps
ROW corpus=bootstrap workload=track1_full_parse bytes=232803 n=200 median_mbps=940.282 min_mbps=570.836 max_mbps=1086.463 stddev_mbps=62.322
ROW corpus=bootstrap workload=track1_rich bytes=232803 n=200 median_mbps=880.961 min_mbps=786.386 max_mbps=888.791 stddev_mbps=12.543
ROW corpus=bootstrap workload=lightningcss bytes=232803 n=200 median_mbps=402.246 min_mbps=349.620 max_mbps=427.011 stddev_mbps=17.343
ROW corpus=bootstrap workload=cssparser bytes=232803 n=200 median_mbps=1123.098 min_mbps=987.172 max_mbps=1137.966 stddev_mbps=30.911
ROW corpus=tailwindcss workload=track1_full_parse bytes=179631 n=200 median_mbps=1013.597 min_mbps=311.254 max_mbps=1085.042 stddev_mbps=159.820
ROW corpus=tailwindcss workload=track1_rich bytes=179631 n=200 median_mbps=1010.050 min_mbps=418.010 max_mbps=1173.181 stddev_mbps=119.305
ROW corpus=tailwindcss workload=lightningcss bytes=179631 n=200 median_mbps=299.264 min_mbps=76.806 max_mbps=358.997 stddev_mbps=42.980
ROW corpus=tailwindcss workload=cssparser bytes=179631 n=200 median_mbps=542.602 min_mbps=252.464 max_mbps=550.093 stddev_mbps=27.407
ROW corpus=material-components-web workload=track1_full_parse bytes=495454 n=200 median_mbps=900.446 min_mbps=776.054 max_mbps=921.543 stddev_mbps=26.491
ROW corpus=material-components-web workload=track1_rich bytes=495454 n=200 median_mbps=788.282 min_mbps=702.481 max_mbps=971.627 stddev_mbps=84.044
ROW corpus=material-components-web workload=lightningcss bytes=495454 n=200 median_mbps=475.464 min_mbps=282.745 max_mbps=500.161 stddev_mbps=42.512
ROW corpus=material-components-web workload=cssparser bytes=495454 n=200 median_mbps=1266.775 min_mbps=1021.280 max_mbps=1283.248 stddev_mbps=74.674
ROW corpus=animate workload=track1_full_parse bytes=71750 n=200 median_mbps=956.866 min_mbps=805.660 max_mbps=994.658 stddev_mbps=27.695
ROW corpus=animate workload=track1_rich bytes=71750 n=200 median_mbps=1009.342 min_mbps=637.749 max_mbps=1048.482 stddev_mbps=47.914
ROW corpus=animate workload=lightningcss bytes=71750 n=200 median_mbps=480.368 min_mbps=368.283 max_mbps=491.158 stddev_mbps=31.855
ROW corpus=animate workload=cssparser bytes=71750 n=200 median_mbps=1011.863 min_mbps=739.969 max_mbps=1029.674 stddev_mbps=74.500
