corpus,size_bytes,iters,wall_sec,mbps
twitter.json,631515,4750,4.35,profile-lazy: 4750 iters in 4.35s -> 5521 Mbps (offset cksum 226442000)
citm_catalog.json,1727204,1736,2.68,profile-lazy: 1736 iters in 2.68s -> 8947 Mbps (offset cksum 193805304)
canada.json,2251051,1332,5.17,profile-lazy: 1332 iters in 5.17s -> 4640 Mbps (offset cksum 297366336)
apache_builds.json,127275,23571,2.82,profile-lazy: 23571 iters in 2.82s -> 8502 Mbps (offset cksum 291266847)
github_events.json,65132,46060,3.25,profile-lazy: 46060 iters in 3.25s -> 7378 Mbps (offset cksum 203447020)
update-center.json,533178,5626,4.54,profile-lazy: 5626 iters in 4.54s -> 5289 Mbps (offset cksum 351681260)
mesh.json,723597,4145,3.62,profile-lazy: 4145 iters in 3.62s -> 6635 Mbps (offset cksum 332681845)
random.json,510476,5876,3.60,profile-lazy: 5876 iters in 3.60s -> 6674 Mbps (offset cksum 481926016)
gsoc-2018.json,3327831,901,2.52,profile-lazy: 901 iters in 2.52s -> 9516 Mbps (offset cksum 68333642)
marine_ik.json,2983466,1005,6.42,profile-lazy: 1005 iters in 6.42s -> 3736 Mbps (offset cksum 399820155)
instruments.json,220346,13614,2.71,profile-lazy: 13614 iters in 2.71s -> 8854 Mbps (offset cksum 295178748)
numbers.json,150124,19983,2.79,profile-lazy: 19983 iters in 2.79s -> 8603 Mbps (offset cksum 199889949)
unicode_mixed.json,1053086,2848,3.50,profile-lazy: 2848 iters in 3.50s -> 6851 Mbps (offset cksum 190790368)
unicode_escapes.json,1050797,2854,4.42,profile-lazy: 2854 iters in 4.42s -> 5429 Mbps (offset cksum 48261140)
